Sentence,Sentiment,Cleaned_Sentence,word_count,char_count,label_encoded
"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .",positive,the geosolutions technology will leverage benefon s gps solutions by providing location based search technology a communities platform location relevant multimedia content and a new and powerful commercial model,29,211,2
"$ESI on lows, down $1.50 to $2.50 BK a real possibility",negative,esi on lows down to bk a real possibility,9,41,0
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,for the last quarter of componenta s net sales doubled to eur m from eur m for the same period a year earlier while it moved to a zero pre tax profit from a pre tax loss of eur m,40,178,2
"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .",neutral,according to the finnish russian chamber of commerce all the major construction companies of finland are operating in russia,19,124,1
"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .",neutral,the swedish buyout firm has sold its remaining percent stake almost eighteen months after taking the company public in finland,20,126,1
$SPY wouldn't be surprised to see a green close,positive,spy wouldn t be surprised to see a green close,10,46,2
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,negative,shell s billion bg deal meets shareholder skepticism,8,52,0
"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",negative,ssh communications security corp stock exchange release october at pm the company updates its full year outlook and estimates its results to remain at loss for the full year,29,173,0
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,positive,kone s net sales rose by some year on year in the first nine months of,16,70,2
"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .",neutral,the stockmann department store will have a total floor space of over square metres and stockmann s investment in the project will have a price tag of about eur million,30,167,1
